service_id,date,exception_type
2,20140324,1
2,20140417,1
2,20140418,1
2,20140501,1
2,20140602,1
2,20140623,1
2,20140630,1
2,20140807,1
2,20140818,1
2,20141013,1
2,20141103,1
2,20141117,1
2,20141208,1
2,20141225,1
4,20140324,2
4,20140417,2
4,20140418,2
4,20140501,2
4,20140602,2
4,20140623,2
4,20140630,2
4,20140807,2
4,20140818,2
4,20141013,2
4,20141103,2
4,20141117,2
4,20141208,2
4,20141225,2
2,20150101,1
4,20150101,2
2,20150112,1
4,20150112,2
2,20150323,1
4,20150323,2
2,20150402,1
4,20150402,2
2,20150403,1
4,20150403,2
2,20150518,1
4,20150518,2
2,20150608,1
4,20150608,2
2,20150615,1
4,20150615,2
2,20150629,1
4,20150629,2
2,20150720,1
4,20150720,2
2,20150807,1
4,20150807,2
2,20150817,1
4,20150817,2
2,20151012,1
4,20151012,2
2,20151102,1
4,20151102,2
2,20151116,1
4,20151116,2
2,20151207,1
4,20151207,2
2,20151225,1
4,20151225,2
2,20160101,1
4,20160101,2
2,20160111,1
4,20160111,2
2,20160321,1
4,20160321,2
2,20160324,1
4,20160324,2
2,20160325,1
4,20160325,2
2,20160501,1
4,20160501,2
2,20160509,1
4,20160509,2
2,20160530,1
4,20160530,2
2,20160606,1
4,20160606,2
2,20160704,1
4,20160704,2
2,20160720,1
4,20160720,2
2,20160807,1
4,20160807,2
2,20160815,1
4,20160815,2
2,20161017,1
4,20161017,2
2,20161107,1
4,20161107,2
2,20161114,1
4,20161114,2
2,20161208,1
4,20161208,2
2,20161225,1
4,20161225,2
2,20170101,1
4,20170101,2
2,20170109,1
4,20170109,2
2,20170320,1
4,20170320,2
2,20170413,1
4,20170413,2
2,20170414,1
4,20170414,2
2,20170501,1
4,20170501,2
2,20170529,1
4,20170529,2
2,20170619,1
4,20170619,2
2,20170626,1
4,20170626,2
2,20170703,1
4,20170703,2
2,20170720,1
4,20170720,2
2,20170807,1
4,20170807,2
2,20170821,1
4,20170821,2
2,20171016,1
4,20171016,2
2,20171106,1
4,20171106,2
2,20171113,1
4,20171113,2
2,20171208,1
4,20171208,2
2,20171225,1
4,20171225,2
2,20180101,1
4,20180101,2
2,20180108,1
4,20180108,2
2,20180319,1
4,20180319,2
2,20180329,1
4,20180329,2
2,20180330,1
4,20180330,2
2,20180501,1
4,20180501,2
2,20180514,1
4,20180514,2
2,20180604,1
4,20180604,2
2,20180611,1
4,20180611,2
2,20180702,1
4,20180702,2
2,20180720,1
4,20180720,2
2,20180807,1
4,20180807,2
2,20180820,1
4,20180820,2
2,20181015,1
4,20181015,2
2,20181105,1
4,20181105,2
2,20181112,1
4,20181112,2
2,20181208,1
4,20181208,2
2,20181225,1
4,20181225,2
2,20190101,1
4,20190101,2
2,20190107,1
4,20190107,2
2,20190325,1
4,20190325,2
2,20190418,1
4,20190418,2
2,20190419,1
4,20190419,2
2,20190501,1
4,20190501,2
2,20190603,1
4,20190603,2
2,20190624,1
4,20190624,2
2,20190701,1
4,20190701,2
2,20190720,1
4,20190720,2
2,20190801,1
4,20190801,2
2,20190819,1
4,20190819,2
2,20191014,1
4,20191014,2
2,20191104,1
4,20191104,2
2,20191111,1
4,20191111,2
2,20191208,1
4,20191208,2
2,20191225,1
4,20191225,2
2,20200101,1
4,20200101,2
2,20200106,1
4,20200106,2
2,20200323,1
4,20200323,2
2,20200409,1
4,20200409,2
2,20200410,1
4,20200410,2
2,20200501,1
4,20200501,2
2,20200525,1
4,20200525,2
2,20200615,1
4,20200615,2
2,20200622,1
4,20200622,2
2,20200629,1
4,20200629,2
2,20200720,1
4,20200720,2
2,20200807,1
4,20200807,2
2,20200817,1
4,20200817,2
2,20201012,1
4,20201012,2
2,20201102,1
4,20201102,2
2,20201116,1
4,20201116,2
2,20201208,1
4,20201208,2
2,20201225,1
4,20201225,2
