route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
1472,3,,,4,3,,00608B,ffffff
264,3,,,7,3,,00608B,ffffff
223,3,,,12,3,,00608B,ffffff
1497,3,,,13,3,,00608B,ffffff
1498,3,,,14,3,,00608B,ffffff
1501,3,,,15,3,,00608B,ffffff
627,3,,,16,3,,00608B,ffffff
1508,3,,,23,3,,00608B,ffffff
456,3,,,34,3,,00608B,ffffff
973,3,,,37,3,,00608B,ffffff
529,3,,,39,3,,00608B,ffffff
1481,3,,,41,3,,00608B,ffffff
981,3,,,54,3,,00608B,ffffff
1255,3,,,60,3,,00608B,ffffff
597,3,,,83,3,,00608B,ffffff
674,3,,,91,3,,00608B,ffffff
1531,3,,,97,3,,00608B,ffffff
247,3,,,99,3,,00608B,ffffff
1421,3,,,105,3,,00608B,ffffff
923,3,,,108,3,,00608B,ffffff
1402,3,,,111,3,,00608B,ffffff
2500,3,,,112,3,,00608B,ffffff
2502,3,,,_112,3,,00608B,ffffff
2501,3,,,112_,3,,00608B,ffffff
679,3,,,117,3,,00608B,ffffff
1568,3,,,120,3,,00608B,ffffff
1591,3,,,121,3,,00608B,ffffff
225,3,,,128,3,,00608B,ffffff
1007,3,,,132,3,,00608B,ffffff
2503,3,,,135,3,,00608B,ffffff
2506,3,,,135_,3,,00608B,ffffff
2504,3,,,_135,3,,00608B,ffffff
2505,3,,,1_35,3,,00608B,ffffff
79,3,,,136,3,,00608B,ffffff
617,3,,,139,3,,00608B,ffffff
2515,3,,,142,3,,00608B,ffffff
2516,3,,,142_,3,,00608B,ffffff
2442,3,,,_143,3,,00608B,ffffff
2527,3,,,1_43,3,,00608B,ffffff
1554,3,,,148,3,,00608B,ffffff
1589,3,,,162,3,,00608B,ffffff
373,3,,,165,3,,00608B,ffffff
1592,3,,,166,3,,00608B,ffffff
1580,3,,,172,3,,00608B,ffffff
1526,3,,,183,3,,00608B,ffffff
1140,3,,,188,3,,00608B,ffffff
1244,3,,,189,3,,00608B,ffffff
1462,3,,,191,3,,00608B,ffffff
1463,3,,,191_,3,,00608B,ffffff
1306,3,,,192,3,,00608B,ffffff
1171,3,,,194,3,,00608B,ffffff
1524,3,,,200,3,,00608B,ffffff
1475,3,,,201,3,,00608B,ffffff
1231,3,,,228,3,,00608B,ffffff
1444,3,,,252,3,,00608B,ffffff
95,3,,,256,3,,00608B,ffffff
459,3,,,257,3,,00608B,ffffff
1407,3,,,260,3,,00608B,ffffff
1408,3,,,260_,3,,00608B,ffffff
1445,3,,,265,3,,00608B,ffffff
1693,3,,,266,3,,00608B,ffffff
1405,3,,,270,3,,00608B,ffffff
831,3,,,271,3,,00608B,ffffff
859,3,,,283,3,,00608B,ffffff
607,3,,,291,3,,00608B,ffffff
566,3,,,312,3,,00608B,ffffff
1096,3,,,314,3,,00608B,ffffff
1395,3,,,320,3,,00608B,ffffff
1569,3,,,330,3,,00608B,ffffff
1047,3,,,341,3,,00608B,ffffff
1483,3,,,344,3,,00608B,ffffff
538,3,,,359,3,,00608B,ffffff
1046,3,,,367,3,,00608B,ffffff
1606,3,,,385,3,,00608B,ffffff
1362,3,,,402,3,,00608B,ffffff
1634,3,,,421,3,,00608B,ffffff
739,3,,,442,3,,00608B,ffffff
1332,3,,,445,3,,00608B,ffffff
910,3,,,465,3,,00608B,ffffff
690,3,,,466,3,,00608B,ffffff
487,3,,,488,3,,00608B,ffffff
562,3,,,489,3,,00608B,ffffff
2511,3,,,492,3,,00608B,ffffff
1435,3,,,496,3,,00608B,ffffff
1673,3,,,505,3,,00608B,ffffff
1620,3,,,539,3,,00608B,ffffff
1018,3,,,540,3,,00608B,ffffff
1563,3,,,552,3,,00608B,ffffff
1272,3,,,576,3,,00608B,ffffff
1339,3,,,577,3,,00608B,ffffff
186,3,,,579,3,,00608B,ffffff
2217,3,,,_580,3,,00608B,ffffff
2218,3,,,580,3,,00608B,ffffff
2219,3,,,580_,3,,00608B,ffffff
1486,3,,,593,3,,00608B,ffffff
1604,3,,,599,3,,00608B,ffffff
1005,3,,,607,3,,00608B,ffffff
880,3,,,614,3,,00608B,ffffff
1350,3,,,621,3,,00608B,ffffff
400,3,,,624,3,,00608B,ffffff
1222,3,,,634,3,,00608B,ffffff
2487,3,,,639,3,,00608B,ffffff
2488,3,,,639_,3,,00608B,ffffff
152,3,,,652,3,,00608B,ffffff
272,3,,,661,3,,00608B,ffffff
