trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
TR_446_1_TM,03:58:00,03:58:30,9912173,1,
TR_446_1_TM,03:59:08,03:59:38,9912174,2,
TR_446_1_TM,04:00:22,04:00:52,9912175,3,
TR_446_1_TM,04:01:20,04:01:50,9912176,4,
TR_446_1_TM,04:02:42,04:03:12,9912177,5,
TR_446_1_TM,04:03:48,04:04:18,9912178,6,
TR_446_1_TM,04:04:43,04:05:13,9912179,7,
TR_446_1_TM,04:05:52,04:06:22,9912180,8,
TR_446_1_TM,04:06:46,04:07:16,9912181,9,
TR_446_1_TM,04:07:31,04:08:01,9912182,10,
TR_446_1_TM,04:08:22,04:08:52,9912183,11,
TR_446_1_TM,04:09:18,04:09:48,9912184,12,
TR_446_1_TM,04:13:07,04:13:37,9912341,13,
TR_446_1_TM,04:13:47,04:14:17,9912060,14,
TR_446_2_TM,04:07:15,04:07:45,9912173,1,
TR_446_2_TM,04:08:23,04:08:53,9912174,2,
TR_446_2_TM,04:09:37,04:10:07,9912175,3,
TR_446_2_TM,04:10:35,04:11:05,9912176,4,
TR_446_2_TM,04:11:57,04:12:27,9912177,5,
TR_446_2_TM,04:13:03,04:13:33,9912178,6,
TR_446_2_TM,04:13:58,04:14:28,9912179,7,
TR_446_2_TM,04:15:07,04:15:37,9912180,8,
TR_446_2_TM,04:16:01,04:16:31,9912181,9,
TR_446_2_TM,04:16:46,04:17:16,9912182,10,
TR_446_2_TM,04:17:37,04:18:07,9912183,11,
TR_446_2_TM,04:18:33,04:19:03,9912184,12,
TR_446_2_TM,04:22:22,04:22:52,9912341,13,
TR_446_2_TM,04:23:02,04:23:32,9912060,14,
TR_446_3_TM,04:12:45,04:13:15,9912173,1,
TR_446_3_TM,04:13:53,04:14:23,9912174,2,
TR_446_3_TM,04:15:07,04:15:37,9912175,3,
TR_446_3_TM,04:16:05,04:16:35,9912176,4,
TR_446_3_TM,04:17:27,04:17:57,9912177,5,
TR_446_3_TM,04:18:33,04:19:03,9912178,6,
