stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1,324A00,AC 63 - KR 22,,4.6505910946001,-74.071710848906,,0
10,617A00,KR 19 - CL 70,,4.6582535749421,-74.065570507174,,0
100,190A11,TV 22 - CL 69C Sur,,4.5651774888993,-74.155039672718,,0
1000,350A00,AC 34 - KR 16,,4.6233189555255,-74.071836597842,,0
1001,092A00,AC 34 - AV. Caracas,,4.6229273610255,-74.069826828136,,0
1002,238A00,AK 13 - CL 31,,4.6185388501404,-74.068741776397,,0
1003,140A00,AC 32 - KR 13A,,4.6187926811075,-74.069165133765,,0
1004,138A00,AC 32 - AV. Caracas,,4.6208755524628,-74.070992396875,,0
1006,090A00,AC 34 - KR 24,,4.6241384520419,-74.075964276899,,0
1007,512A00,AK 28 - CL 37,,4.6271704951042,-74.077330592105,,0
1008,521A00,CL 39A - AK 24,,4.6291945782006,-74.075705306907,,0
1009,166A00,AK 24 - CL 40,,4.6303151758177,-74.074901534475,,0
101,090A11,DG 62 Sur - KR 22A,,4.5670287614287,-74.144788367019,,0
1010,037A00,AC 53 - AK 24,,4.6419118920435,-74.075147883922,,0
1011,259A00,AC 53 - KR 28,,4.6421670445583,-74.07658093065,,0
1012,136A05,AC 53 - KR 37A,,4.6442468012913,-74.082960844927,,0
1013,016A05,AC 53 - KR 46,,4.6458408103534,-74.084491340462,,0
1017,122A05,AK 68 - CL 64,,4.6707862046521,-74.089687980334,,0
1018,124A05,AK 68 - CL 67G,,4.6761551128087,-74.086489592133,,0
102,093A10,AV. Boyaca - KR 32,,4.5812278982608,-74.142563004677,,0
1020,118A04,AC 72 - KR 68G,,4.6799379996527,-74.087900118203,,0
1021,117A04,AC 72 - KR 68H,,4.6818579002635,-74.089619592709,,0
1022,157A04,AC 72 - KR 69P,,4.6835243586052,-74.091213186137,,0
1023,116A04,AC 72 - KR 70F,,4.6856438065345,-74.093356152201,,0
1024,115A04,AC 72 - KR 75,,4.6893583491463,-74.097877202235,,0
1025,114A04,AC 72 - KR 77A,,4.6913787702283,-74.100398990835,,0
1026,113A04,AC 72 - KR 80,,4.6929370367644,-74.102281271655,,0
1027,006A04,AV. C. de Cali - CL 74,,4.6975806223545,-74.104763679097,,0
1028,007A04,AV. C. de Cali - CL 76A,,4.7008159518853,-74.102433479695,,0
1029,008A04,AV. C. de Cali - DG 84A,,4.7062105367393,-74.098071920787,,0
103,075A10,AV. Boyaca - KR 36A,,4.5848925264365,-74.143487120905,,0
1030,009A04,AV. C. de Cali - AC 90,,4.70935440266,-74.094993459357,,0
1031,088A04,AC 90 - KR 87B,,4.7114997498085,-74.096180784053,,0
1032,030A04,AC 90 - KR 91,,4.7125595340949,-74.097297388536,,0
1033,153A04,TV 94L - CL 84 BIS,,4.7112019697102,-74.103727481166,,0
1034,152A04,TV 94L - CL 82,,4.7098657299391,-74.105676626519,,0
1035,193A04,CL 82 - KR 92,,4.7076570283105,-74.104453288987,,0
1036,190A04,KR 90 - CL 83,,4.7065957203934,-74.102146587313,,0
1039,377A13,KR 16 Este - CL 45B Sur,,4.5413344002899,-74.082299078002,,0
104,087A10,AV. Boyaca - DG 52A Sur ,,4.5874989139586,-74.144502647458,,0
1040,489A09,CL 74A Sur - KR 79 Bis A,,4.6064900623727,-74.202552975428,,0
105,088A10,AV. Boyaca - DG 49 Sur,,4.5914617269861,-74.145155986638,,0
1059,348A03,CL 129C - KR 97 Bis,,4.7283876558937,-74.096032707099,,0
106,092A09,AV. Boyaca - CL 44B Sur,,4.5983541629408,-74.144814237002,,0
1060,350A03,KR 95A - CL 129D,,4.7280952884706,-74.093806106757,,0
107,112A09,AV. Boyaca - CL 40 Sur,,4.6017538231723,-74.143539120141,,0
11,374A05,AC 26 - KR 82,,4.6744567508721,-74.116423042676,,0
111,091A09,AV. Boyaca - CL 39B Sur,,4.6051354197397,-74.142291054207,,0
112,111A09,AV. Boyaca - KR 69 Bis,,4.609231752962,-74.141150292258,,0
1153,526A03,CL 97 - KR 60,,4.6853176383025,-74.065480580617,,0
1154,174A02,CL 106 - TV 59,,4.6932069750244,-74.066714246038,,0
1155,268A02,CL 106 - KR 54,,4.6940460942018,-74.065135401326,,0
1156,176A02,CL 106 - KR 53,,4.6944597442987,-74.06331369951,,0
1158,061A02,KR 53 - CL 115,,4.6994877503564,-74.062351330066,,0
1160,043A02,AV. Cordoba - CL 119,,4.7033091981852,-74.065510736004,,0
1161,041A02,AV. Cordoba - AC 127,,4.7081199816752,-74.064449473597,,0
117,111A04,AV. C. de Cali - CL 82A Bis,,4.7053075436168,-74.099281203875,,0
1170,019A02,AC 134 - KR 58C,,4.7244781673587,-74.067357778613,,0
1171,020A02,AC 134 - AV. Boyaca,,4.7256127055296,-74.070223354389,,0
1173,155A02,AV. Suba - CL 132A,,4.7267582914882,-74.074594605577,,0
1174,156A02,AV. Suba - AC 138,,4.7304488830552,-74.074607739456,,0
1175,180A03,AV. Suba - KR 80,,4.7337097310919,-74.0779483952,,0
1176,181A03,AV. Suba - KR 83,,4.7350696550349,-74.080272764305,,0
1177,449A03,CL 137 - KR 90A,,4.7351120188449,-74.084934068751,,0
1181,111A03,CL 130C - KR 93,,4.7279457145213,-74.090109699508,,0
1183,366A03,CL 129B - KR 94B,,4.7258966519842,-74.093376191502,,0
1184,351A03,KR 95A - CL 129C,,4.727851188133,-74.093905601121,,0
1185,349A03,CL 129C - KR 97A,,4.7283689292776,-74.095545861087,,0
1186,525A03,KR 100A - CL 130,,4.7302251520649,-74.096986035533,,0
1187,523A03,CL 131 - KR 100A Bis,,4.7326126634072,-74.096586229923,,0
1188,025A03,AC 132 - AK 104,,4.7355743482029,-74.099485609329,,0
1189,027A03,AC 132 - KR 110A,,4.7372709313893,-74.103378432594,,0
119,122D05,AK 68 - AC 63,,4.6709762433786,-74.08975084281,,0
1197,076A03,CL 139 - KR 129B,,4.7462461970823,-74.111950449668,,0
12,194A05,AC 26 - KR 103,,4.6901335042132,-74.131369420626,,0
1200,147A03,KR 149B - CL 138,,4.7468906230548,-74.120722589401,,0
124,089A09,AV. Boyaca - CL 37 Sur,,4.6132563599786,-74.140541469931,,0
125,015A11,AK 21 - CL 18 Sur,,4.5859466909165,-74.10323670778,,0
126,520A09,AV. A. Mejia - CL 60A Sur,,4.6073357704894,-74.182575242951,,0
128,014A09,AV. Boyaca - CL 4 Sur,,4.6192429185371,-74.139136968516,,0
13,193A00,KR 17 - CL 66,,4.6536060158848,-74.066955947274,,0
1306,512A09,DG 73 BIS Sur - KR 83A-57,,4.6149325884389,-74.196963333088,,0
1307,195A09,DG 72 Sur - KR 81,,4.6104901979739,-74.196184031878,,0
1308,193A09,KR 81 - CL 71D Sur,,4.6101459564357,-74.195742691598,,0
1310,206A09,CL 68A Sur - KR 80N,,4.6095442457518,-74.191614577198,,0
1311,224A09,CL 68A Sur - KR 80K,,4.6079424995198,-74.19105746922,,0
1312,222A09,CL 68A Sur - TV 80F,,4.606078116504,-74.19023021688,,0
1313,220A09,CL 68A Sur - TV 79,,4.6043763112848,-74.189186430091,,0
1314,071A09,TV 78L - CL 66 Sur,,4.6049087391028,-74.188067997284,,0
1315,073A09,KR 80C - CL 65 Sur,,4.6076558506787,-74.185603844229,,0
1316,052A09,CL 65 Sur - AV. A. Mejia,,4.606885809947,-74.184604080442,,0
132,130A04,AC 90 - KR 87,,4.7115453643925,-74.096478249857,,0
133,205A08,AV. Boyaca - CL 2A Bis,,4.6253023173783,-74.138129002186,,0
1331,248A00,AC 19 - KR 4,,4.6040033779736,-74.069283545172,,0
1332,061A09,AV. 1 de Mayo - KR 51D,,4.6048699671279,-74.12487510454,,0
1339,515A08,CL 1F - KR 35B,,4.6047509227084,-74.109135775511,,0
1340,516A08,CL 1F - KR 32B,,4.6029387792876,-74.106731145867,,0
1341,517A08,CL 1F - KR 31,,4.6011898926103,-74.104281377437,,0
1342,415A00,CL 1F - KR 29B,,4.6002474685468,-74.10294840908,,0
1343,418A00,CL 1F - KR 27A,,4.5986528713171,-74.100913132575,,0
1344,206A00,CL 1F - KR 26,,4.5977196933884,-74.099742422601,,0
1345,207A00,CL 1F - KR 25,,4.5965055984517,-74.098175433403,,0
1351,171A00,AK 27 - AC 19,,4.6153956430546,-74.086225236869,,0
1352,615A00,AK 27 - AC 19,,4.6164166768765,-74.085358523347,,0
1353,616A00,AK 27 - CL 23,,4.6210249479295,-74.081512351531,,0
1354,108A00,CL 24 - KR 19A,,4.6180446326728,-74.078180759971,,0
1355,027A00,AK 19 - AC 26,,4.6178693173194,-74.075530677224,,0
1356,135A00,AC 32 - KR 17,,4.6204536930314,-74.073499026489,,0
1357,347A00,KR 17 - AC 34,,4.6239072810482,-74.072115288477,,0
1359,351A00,AK 19 - CL 39B,,4.6286208523043,-74.072758216307,,0
1360,145A00,AK 19 - CL 44,,4.6334951973258,-74.071841369223,,0
1361,352A00,TV 17 - DG 46A ,,4.6355013601775,-74.070360314116,,0
1362,103A00,KR 17 - CL 51,,4.639552660864,-74.0695256449,,0
1363,353A00,KR 17 - CL 54A,,4.6429258301643,-74.068908209988,,0
1364,102A00,KR 17 - CL 58B,,4.6464075197538,-74.068272593637,,0
1365,354A00,KR 17 - CL 61A,,4.6493918233905,-74.067727772028,,0
1366,014A00,AC 63 - KR 16,,4.6498701133133,-74.066879729654,,0
1367,054A00,AC 63 - AV. Caracas,,4.6495693881893,-74.065203329584,,0
1369,098A00,AK 13 - CL 57,,4.6441320352359,-74.064453236306,,0
1370,233A00,AK 13 - CL 54,,4.6414099239281,-74.064898553461,,0
1371,198A00,AK 13 - CL 50,,4.6372770462056,-74.065598136354,,0
1372,234A00,AK 13 - CL 46,,4.6332526999,-74.0662885492,,0
1373,277A00,AC 45 - AK 13 ,,4.6324484706123,-74.066911626527,,0
1374,084A00,AC 45 - AV. Caracas,,4.6327127760399,-74.068416755183,,0
1375,276A00,AC 45 - KR 15A ,,4.6329132852994,-74.069561375784,,0
1376,086A00,AC 45 - AK 19,,4.6332685145253,-74.07142698231,,0
1377,144A00,AK 19 - CL 43,,4.631804216338,-74.072249241286,,0
1378,142A00,AK 19 - CL 39A,,4.6282863448944,-74.072893873369,,0
1379,141A00,AK 19 - DG 35 Bis,,4.624750380173,-74.073538519239,,0
1380,121A00,AK 19 - AC 32,,4.6205180483154,-74.074292235018,,0
1382,026A00,KR 19B - CL 24,,4.6185238356475,-74.078017877241,,0
1383,197A00,KR 20 - CL 23,,4.6170428126357,-74.079903851717,,0
1384,194A00,KR 22 - CL 22,,4.6162224235506,-74.082032365091,,0
1386,159A00,KR 22 - CL 18,,4.6127165295505,-74.084966616641,,0
1387,321A00,AK 27 - AC 13,,4.6123419246903,-74.089095788644,,0
1388,322A00,AK 27 - CL 9 ,,4.6084564105262,-74.092291896038,,0
1389,010A00,AK 27 - AC 6,,4.604751362274,-74.095154201533,,0
1390,011A00,AK 27 - CL 1G,,4.5990944772697,-74.099623508422,,0
1391,048A00,AK 27 - CL 1A,,4.5960491228647,-74.102016158495,,0
14,154A05,AC 63 - TV 59A,,4.654262971609,-74.085057435137,,0
1402,113A08,AV. 1 de Mayo - KR 51F,,4.6051593396816,-74.124802633967,,0
